"ID";"EDU_NAME";"global_id";"YEAR";"AdmArea";"District";"PASSES_OVER_220";"PASSER_UNDER_160";
"9994";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1251 имени генерала Шарля де Голля»";"1011905330";"2018-2019";"Северный административный округ";"район Сокол";"51";"97";
"9995";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1288 имени Героя Советского Союза Н.В. Троян»";"1011905331";"2018-2019";"Северный административный округ";"Хорошёвский район";"80";"143";
"9996";"Частное учреждение общеобразовательная организация «Международная школа углубленного изучения иностранных языков»";"1011905332";"2018-2019";"Северный административный округ";"Хорошёвский район";"3";"4";
"9997";"Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1449 имени Героя Советского Союза М.В. Водопьянова»";"1011905333";"2018-2019";"Северо-Восточный административный округ";"район Лианозово";"20";"46";
"9998";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1416 «Лианозово»";"1011905334";"2018-2019";"Северо-Восточный административный округ";"район Лианозово";"36";"71";
"9999";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 950»";"1011905335";"2018-2019";"Северо-Восточный административный округ";"район Отрадное";"15";"69";
"10000";"Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Феникс»";"1011905336";"2018-2019";"Северо-Западный административный округ";"район Строгино";"7";"9";
"10001";"Общеобразовательная автономная некоммерческая организация «Международная школа с углубленным изучением иностранных языков «Интеграция XXI век»";"1011905337";"2018-2019";"Северо-Западный административный округ";"район Строгино";"1";"2";
"10002";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1874»";"1011905338";"2018-2019";"Северо-Западный административный округ";"район Щукино";"38";"74";
"10003";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1391»";"1011905339";"2018-2019";"Троицкий административный округ";"поселение Киевский";"10";"56";
"10004";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1429 имени Героя Советского Союза Н.А. Боброва»";"1011905340";"2018-2019";"Центральный административный округ";"Басманный район";"3";"18";
"10005";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1501»";"1011905341";"2018-2019";"Центральный административный округ";"Тверской район";"174";"279";
"10006";"Федеральное государственное бюджетное профессиональное образовательное учреждение «Московская центральная художественная школа при Российской академии художеств»";"1011905342";"2018-2019";"Центральный административный округ";"район Якиманка";"3";"4";
